 0001 gO        PHOEXC              gO*                                               1.00E+00  0.00E+00  1.00E+00
 0002 gO        PHOION              gO+       ge-                                     1.00E+00  0.00E+00  1.00E+00
 0003 gO2       PHOEXC              gO        gO                                      3.33E-01  2.13E-18  1.00E+00 0
 0004 gO2       PHOEXC              gO+       gO-                                     3.33E-01  2.13E-18  1.00E+00  
 0005 gO2       PHOEXC              gO2*                                              3.33E-01  2.13E-18  1.00E+00 2
 0006 gO2       PHOION              gO*       gO*                                     5.00E-01  3.86E-20  1.00E+00 1
 0007 gO2       PHOION              gO2+      ge-                                     5.00E-01  3.86E-20  1.00E+00
 0008 gO3       PHOEXC              gO+       gO2-                                    2.50E-01  5.60E-18  1.00E+00
 0009 gO3       PHOEXC              gO2       gO                                      2.50E-01  5.60E-18  1.00E+00 2
 0010 gO3       PHOEXC              gO2+      gO-                                     2.50E-01  5.60E-18  1.00E+00 
 0011 gO3       PHOEXC              gO3*                                              2.50E-01  5.60E-18  1.00E+00 2
 0012 gO3       PHOION              gO2*      gO*                                     5.00E-01  0.00E+00  1.00E+00
 0013 gO3       PHOION              gO3+      ge-                                     5.00E-01  0.00E+00  1.00E+00
 1001 bO        PHOEXC              bO*                                               1.00E+00  0.00E+00  1.00E+00
 1002 bO        PHOION              bO+       be-                                     1.00E+00  0.00E+00  1.00E+00
 1003 bO2       PHOEXC              bO        bO                                      3.33E-01  2.13E-18  1.00E+02
 1004 bO2       PHOEXC              bO+       bO-                                     3.33E-01  2.13E-18  1.00E-01
 1005 bO2       PHOEXC              bO2*                                              3.33E-01  2.13E-18  1.00E-01
 1006 bO2       PHOION              bO*       bO*                                     5.00E-01  3.86E-20  1.00E-01
 1007 bO2       PHOION              bO2+      be-                                     5.00E-01  3.86E-20  1.00E-01
 1008 bO3       PHOEXC              bO+       bO2-                                    2.50E-01  5.60E-18  1.00E+02
 1009 bO3       PHOEXC              bO2       bO                                      2.50E-01  5.60E-18  1.00E+02
 1010 bO3       PHOEXC              bO2+      bO-                                     2.50E-01  5.60E-18  1.00E+02
 1011 bO3       PHOEXC              bO3*                                              2.50E-01  5.60E-18  1.00E+02
 1012 bO3       PHOION              bO2*      bO*                                     5.00E-01  0.00E+00  1.00E+02
 1013 bO3       PHOION              bO3+      be-                                     5.00E-01  0.00E+00  1.00E+02
