Fluence,bO+
4.3609E+04,1.7627E+09
6.0277E+04,2.4365E+09
8.3316E+04,3.3678E+09
1.1516E+05,4.6550E+09
1.5918E+05,6.4342E+09
2.2002E+05,8.8935E+09
3.0411E+05,1.2293E+10
4.2035E+05,1.6991E+10
5.8102E+05,2.3486E+10
8.0309E+05,3.2462E+10
1.1101E+06,4.4870E+10
1.5343E+06,6.2020E+10
2.1208E+06,8.5725E+10
2.9314E+06,1.1849E+11
4.0518E+06,1.6378E+11
5.6005E+06,2.2638E+11
7.7411E+06,3.1291E+11
1.0700E+07,4.3250E+11
1.4790E+07,5.9782E+11
2.0442E+07,8.2631E+11
2.8256E+07,1.1421E+12
3.9056E+07,1.5787E+12
5.3984E+07,2.1821E+12
7.4617E+07,3.0161E+12
1.0314E+08,4.1689E+12
1.4256E+08,5.7624E+12
1.9705E+08,7.9649E+12
2.7236E+08,1.1009E+13
3.7646E+08,1.5217E+13
5.2035E+08,2.1033E+13
7.1924E+08,2.9072E+13
9.9415E+08,4.0183E+13
1.3741E+09,5.5541E+13
1.8994E+09,7.6769E+13
2.6253E+09,1.0611E+14
3.6288E+09,1.4666E+14
5.0157E+09,2.0270E+14
6.9329E+09,2.8016E+14
9.5827E+09,3.8720E+14
1.3245E+10,5.3512E+14
1.8308E+10,7.3950E+14
2.5306E+10,1.0219E+15
3.4978E+10,1.4119E+15
4.8347E+10,1.9505E+15
6.6827E+10,2.6940E+15
9.2369E+10,3.7200E+15
1.2767E+11,5.1346E+15
1.7647E+11,7.0834E+15
2.4392E+11,9.7645E+15
3.3716E+11,1.3447E+16
4.6602E+11,1.8492E+16
6.4415E+11,2.5380E+16
8.9035E+11,3.4742E+16
1.2307E+12,4.7384E+16
1.7010E+12,6.4306E+16
2.3512E+12,8.6681E+16
3.2499E+12,1.1578E+17
4.4921E+12,1.5279E+17
6.2090E+12,1.9849E+17
8.5822E+12,2.5284E+17
1.1862E+13,3.1477E+17
1.6397E+13,3.8265E+17
2.2664E+13,4.5632E+17
3.1326E+13,5.4034E+17
4.3299E+13,6.4603E+17
5.9849E+13,7.8967E+17
8.2725E+13,9.8989E+17
1.1434E+14,1.2704E+18
1.5805E+14,1.6669E+18
2.1846E+14,2.2366E+18
3.0196E+14,3.0789E+18
4.1737E+14,4.3841E+18
5.7689E+14,6.5585E+18
7.9739E+14,1.0569E+19
1.1022E+15,1.8968E+19
1.5234E+15,3.8951E+19
2.1057E+15,8.8572E+19
2.9106E+15,1.8134E+20
4.0231E+15,2.5599E+20
5.5607E+15,2.7705E+20
7.6862E+15,2.7960E+20
1.0624E+16,2.7973E+20
1.4685E+16,2.7973E+20
2.0297E+16,2.7973E+20
2.8055E+16,2.7973E+20
3.8779E+16,2.7973E+20
5.3601E+16,2.7973E+20
7.4088E+16,2.7973E+20
1.0241E+17,2.7973E+20
1.4155E+17,2.7972E+20
1.9565E+17,2.7972E+20
2.7043E+17,2.7971E+20
3.7379E+17,2.7970E+20
5.1666E+17,2.7969E+20
7.1414E+17,2.7968E+20
9.8709E+17,2.7966E+20
1.3644E+18,2.7965E+20
1.8859E+18,2.7963E+20
2.6067E+18,2.7961E+20
3.6030E+18,2.7960E+20
