Fluence,be-
0.3893E-04,0.7982E-11
0.4805E-04,0.9851E-11
0.5929E-04,0.1216E-10
0.7317E-04,0.1500E-10
0.9030E-04,0.1851E-10
0.1114E-03,0.2285E-10
0.1375E-03,0.2819E-10
0.1697E-03,0.3479E-10
0.2094E-03,0.4293E-10
0.2584E-03,0.5298E-10
0.3189E-03,0.6538E-10
0.3936E-03,0.8069E-10
0.4857E-03,0.9957E-10
0.5994E-03,0.1229E-09
0.7397E-03,0.1516E-09
0.9128E-03,0.1871E-09
0.1126E-02,0.2309E-09
0.1390E-02,0.2850E-09
0.1715E-02,0.3517E-09
0.2117E-02,0.4340E-09
0.2612E-02,0.5356E-09
0.3224E-02,0.6609E-09
0.3978E-02,0.8156E-09
0.4910E-02,0.1007E-08
0.6059E-02,0.1242E-08
0.7477E-02,0.1533E-08
0.9227E-02,0.1892E-08
0.1139E-01,0.2334E-08
0.1405E-01,0.2880E-08
0.1734E-01,0.3555E-08
0.2140E-01,0.4386E-08
0.2641E-01,0.5413E-08
0.3259E-01,0.6680E-08
0.4022E-01,0.8243E-08
0.4963E-01,0.1017E-07
0.6125E-01,0.1255E-07
0.7558E-01,0.1549E-07
0.9327E-01,0.1911E-07
0.1151E+00,0.2358E-07
0.1420E+00,0.2909E-07
0.1753E+00,0.3589E-07
0.2163E+00,0.4428E-07
0.2669E+00,0.5463E-07
0.3294E+00,0.6739E-07
0.4065E+00,0.8312E-07
0.5017E+00,0.1025E-06
0.6191E+00,0.1264E-06
0.7640E+00,0.1558E-06
0.9428E+00,0.1921E-06
0.1164E+01,0.2367E-06
0.1436E+01,0.2915E-06
0.1772E+01,0.3590E-06
0.2187E+01,0.4418E-06
0.2698E+01,0.5433E-06
0.3330E+01,0.6676E-06
0.4109E+01,0.8195E-06
0.5071E+01,0.1005E-05
0.6258E+01,0.1230E-05
0.7723E+01,0.1503E-05
0.9531E+01,0.1832E-05
0.1176E+02,0.2228E-05
0.1451E+02,0.2698E-05
0.1791E+02,0.3254E-05
0.2210E+02,0.3903E-05
0.2728E+02,0.4651E-05
0.3366E+02,0.5496E-05
0.4154E+02,0.6431E-05
0.5126E+02,0.7432E-05
0.6326E+02,0.8462E-05
0.7807E+02,0.9464E-05
0.9634E+02,0.1036E-04
0.1189E+03,0.1106E-04
0.1467E+03,0.1147E-04
0.1811E+03,0.1153E-04
0.2234E+03,0.1119E-04
0.2757E+03,0.1050E-04
0.3403E+03,0.9581E-05
0.4199E+03,0.8592E-05
0.5182E+03,0.7715E-05
0.6395E+03,0.7070E-05
0.7892E+03,0.6681E-05
0.9739E+03,0.6496E-05
0.1202E+04,0.6430E-05
0.1483E+04,0.6413E-05
0.1830E+04,0.6410E-05
0.2259E+04,0.6410E-05
0.2787E+04,0.6410E-05
0.3440E+04,0.6410E-05
0.4245E+04,0.6410E-05
0.5238E+04,0.6410E-05
0.6464E+04,0.6410E-05
0.7977E+04,0.6410E-05
0.9844E+04,0.6410E-05
0.1215E+05,0.6410E-05
0.1499E+05,0.6410E-05
0.1850E+05,0.6410E-05
0.2283E+05,0.6410E-05
0.2818E+05,0.6410E-05
0.3477E+05,0.6410E-05
0.4291E+05,0.6410E-05
