Fluence,bO-
9.0717E+09,3.6669E+15
1.1195E+10,4.5252E+15
1.3815E+10,5.5844E+15
1.7049E+10,6.8914E+15
2.1039E+10,8.5044E+15
2.5964E+10,1.0495E+16
3.2041E+10,1.2951E+16
3.9540E+10,1.5983E+16
4.8795E+10,1.9724E+16
6.0216E+10,2.4340E+16
7.4310E+10,3.0037E+16
9.1702E+10,3.7067E+16
1.1317E+11,4.5743E+16
1.3965E+11,5.6450E+16
1.7234E+11,6.9662E+16
2.1268E+11,8.5967E+16
2.6246E+11,1.0609E+17
3.2389E+11,1.3092E+17
3.9969E+11,1.6156E+17
4.9325E+11,1.9937E+17
6.0869E+11,2.4604E+17
7.5116E+11,3.0362E+17
9.2698E+11,3.7468E+17
1.1439E+12,4.6238E+17
1.4117E+12,5.7060E+17
1.7421E+12,7.0416E+17
2.1499E+12,8.6897E+17
2.6531E+12,1.0723E+18
3.2740E+12,1.3233E+18
4.0403E+12,1.6330E+18
4.9860E+12,2.0152E+18
6.1530E+12,2.4869E+18
7.5932E+12,3.0689E+18
9.3704E+12,3.7872E+18
1.1564E+13,4.6735E+18
1.4270E+13,5.7672E+18
1.7610E+13,7.1168E+18
2.1732E+13,8.7822E+18
2.6819E+13,1.0837E+19
3.3096E+13,1.3373E+19
4.0842E+13,1.6501E+19
5.0401E+13,2.0362E+19
6.2198E+13,2.5124E+19
7.6756E+13,3.1000E+19
9.4721E+13,3.8248E+19
1.1689E+14,4.7189E+19
1.4425E+14,5.8216E+19
1.7801E+14,7.1815E+19
2.1968E+14,8.8584E+19
2.7110E+14,1.0926E+20
3.3455E+14,1.3473E+20
4.1285E+14,1.6613E+20
5.0948E+14,2.0479E+20
6.2873E+14,2.5240E+20
7.7589E+14,3.1097E+20
9.5750E+14,3.8299E+20
1.1816E+15,4.7148E+20
1.4582E+15,5.8007E+20
1.7995E+15,7.1316E+20
2.2206E+15,8.7603E+20
2.7404E+15,1.0749E+21
3.3818E+15,1.3172E+21
4.1733E+15,1.6115E+21
5.1502E+15,1.9675E+21
6.3556E+15,2.3962E+21
7.8432E+15,2.9092E+21
9.6789E+15,3.5188E+21
1.1944E+16,4.2361E+21
1.4740E+16,5.0706E+21
1.8190E+16,6.0269E+21
2.2447E+16,7.1022E+21
2.7702E+16,8.2824E+21
3.4185E+16,9.5379E+21
4.2187E+16,1.0820E+22
5.2061E+16,1.2059E+22
6.4246E+16,1.3168E+22
7.9283E+16,1.4053E+22
9.7840E+16,1.4630E+22
1.2074E+17,1.4843E+22
1.4900E+17,1.4683E+22
1.8387E+17,1.4190E+22
2.2691E+17,1.3440E+22
2.8002E+17,1.2522E+22
3.4556E+17,1.1522E+22
4.2645E+17,1.0518E+22
5.2626E+17,9.5781E+21
6.4943E+17,8.7635E+21
8.0144E+17,8.1171E+21
9.8902E+17,7.6546E+21
1.2205E+18,7.3617E+21
1.5062E+18,7.2015E+21
1.8587E+18,7.1286E+21
2.2938E+18,7.1032E+21
2.8306E+18,7.0979E+21
3.4932E+18,7.0987E+21
4.3107E+18,7.0994E+21
5.3197E+18,7.0989E+21
6.5648E+18,7.0980E+21
8.1014E+18,7.0976E+21
9.9976E+18,7.0986E+21
