Fluence,bO3+
9.0717E+09,7.8041E+06
1.1195E+10,1.0093E+07
1.3815E+10,1.2918E+07
1.7049E+10,1.6403E+07
2.1039E+10,3.0437E+07
2.5964E+10,8.3492E+07
3.2041E+10,1.4896E+08
3.9540E+10,2.2976E+08
4.8795E+10,3.2947E+08
6.0216E+10,4.5251E+08
7.4310E+10,6.0436E+08
9.1702E+10,7.9174E+08
1.1317E+11,1.0230E+09
1.3965E+11,1.3084E+09
1.7234E+11,1.6605E+09
2.1268E+11,3.3016E+09
2.6246E+11,8.6660E+09
3.2389E+11,1.5286E+10
3.9969E+11,2.3455E+10
4.9325E+11,3.3537E+10
6.0869E+11,4.5978E+10
7.5116E+11,6.1331E+10
9.2698E+11,8.0278E+10
1.1439E+12,1.0366E+11
1.4117E+12,1.3251E+11
1.7421E+12,1.6812E+11
2.1499E+12,2.3142E+11
2.6531E+12,3.5752E+11
3.2740E+12,5.2567E+11
4.0403E+12,7.5227E+11
4.9860E+12,1.0610E+12
6.1530E+12,1.4862E+12
7.5932E+12,2.0784E+12
9.3704E+12,2.9212E+12
1.1564E+13,4.2347E+12
1.4270E+13,6.1735E+12
1.7610E+13,9.0721E+12
2.1732E+13,1.3474E+13
2.6819E+13,2.0162E+13
3.3096E+13,3.0337E+13
4.0842E+13,4.5825E+13
5.0401E+13,6.9424E+13
6.2198E+13,1.0537E+14
7.6756E+13,1.6021E+14
9.4721E+13,2.4376E+14
1.1689E+14,3.7139E+14
1.4425E+14,5.6608E+14
1.7801E+14,8.6331E+14
2.1968E+14,1.3183E+15
2.7110E+14,2.0125E+15
3.3455E+14,3.0752E+15
4.1285E+14,4.7010E+15
5.0948E+14,7.1945E+15
6.2873E+14,1.1022E+16
7.7589E+14,1.6916E+16
9.5750E+14,2.5994E+16
1.1816E+15,4.0014E+16
1.4582E+15,6.1724E+16
1.7995E+15,9.5457E+16
2.2206E+15,1.4806E+17
2.7404E+15,2.3038E+17
3.3818E+15,3.5969E+17
4.1733E+15,5.6355E+17
5.1502E+15,8.8588E+17
6.3556E+15,1.3967E+18
7.8432E+15,2.2068E+18
9.6789E+15,3.4898E+18
1.1944E+16,5.5131E+18
1.4740E+16,8.6780E+18
1.8190E+16,1.3564E+19
2.2447E+16,2.0965E+19
2.7702E+16,3.1877E+19
3.4185E+16,4.7394E+19
4.2187E+16,6.8438E+19
5.2061E+16,9.5289E+19
6.4246E+16,1.2699E+20
7.9283E+16,1.6088E+20
9.7840E+16,1.9275E+20
1.2074E+17,2.1782E+20
1.4900E+17,2.3249E+20
1.8387E+17,2.3597E+20
2.2691E+17,2.3062E+20
2.8002E+17,2.2079E+20
3.4556E+17,2.1103E+20
4.2645E+17,2.0466E+20
5.2626E+17,2.0344E+20
6.4943E+17,2.0772E+20
8.0144E+17,2.1670E+20
9.8902E+17,2.2851E+20
1.2205E+18,2.4083E+20
1.5062E+18,2.5159E+20
1.8587E+18,2.5958E+20
2.2938E+18,2.6458E+20
2.8306E+18,2.6718E+20
3.4932E+18,2.6826E+20
4.3107E+18,2.6865E+20
5.3197E+18,2.6880E+20
6.5648E+18,2.6888E+20
8.1014E+18,2.6891E+20
9.9976E+18,2.6892E+20
