Fluence,bO2
4.3609E+04,5.6989E+22
6.0277E+04,5.6989E+22
8.3316E+04,5.6989E+22
1.1516E+05,5.6989E+22
1.5918E+05,5.6989E+22
2.2002E+05,5.6989E+22
3.0411E+05,5.6989E+22
4.2035E+05,5.6989E+22
5.8102E+05,5.6989E+22
8.0309E+05,5.6989E+22
1.1101E+06,5.6989E+22
1.5343E+06,5.6989E+22
2.1208E+06,5.6989E+22
2.9314E+06,5.6989E+22
4.0518E+06,5.6989E+22
5.6005E+06,5.6989E+22
7.7411E+06,5.6989E+22
1.0700E+07,5.6989E+22
1.4790E+07,5.6989E+22
2.0442E+07,5.6989E+22
2.8256E+07,5.6989E+22
3.9056E+07,5.6989E+22
5.3984E+07,5.6989E+22
7.4617E+07,5.6989E+22
1.0314E+08,5.6989E+22
1.4256E+08,5.6989E+22
1.9705E+08,5.6989E+22
2.7236E+08,5.6989E+22
3.7646E+08,5.6989E+22
5.2035E+08,5.6989E+22
7.1924E+08,5.6989E+22
9.9415E+08,5.6989E+22
1.3741E+09,5.6989E+22
1.8994E+09,5.6989E+22
2.6253E+09,5.6989E+22
3.6288E+09,5.6989E+22
5.0157E+09,5.6989E+22
6.9329E+09,5.6989E+22
9.5827E+09,5.6989E+22
1.3245E+10,5.6989E+22
1.8308E+10,5.6989E+22
2.5306E+10,5.6989E+22
3.4978E+10,5.6989E+22
4.8347E+10,5.6989E+22
6.6827E+10,5.6989E+22
9.2369E+10,5.6989E+22
1.2767E+11,5.6989E+22
1.7647E+11,5.6989E+22
2.4392E+11,5.6989E+22
3.3716E+11,5.6989E+22
4.6602E+11,5.6989E+22
6.4415E+11,5.6989E+22
8.9035E+11,5.6989E+22
1.2307E+12,5.6989E+22
1.7010E+12,5.6989E+22
2.3512E+12,5.6989E+22
3.2499E+12,5.6988E+22
4.4921E+12,5.6988E+22
6.2090E+12,5.6988E+22
8.5822E+12,5.6988E+22
1.1862E+13,5.6988E+22
1.6397E+13,5.6988E+22
2.2664E+13,5.6988E+22
3.1326E+13,5.6987E+22
4.3299E+13,5.6987E+22
5.9849E+13,5.6986E+22
8.2725E+13,5.6985E+22
1.1434E+14,5.6984E+22
1.5805E+14,5.6982E+22
2.1846E+14,5.6979E+22
3.0196E+14,5.6976E+22
4.1737E+14,5.6971E+22
5.7689E+14,5.6964E+22
7.9739E+14,5.6955E+22
1.1022E+15,5.6942E+22
1.5234E+15,5.6925E+22
2.1057E+15,5.6900E+22
2.9106E+15,5.6866E+22
4.0231E+15,5.6820E+22
5.5607E+15,5.6755E+22
7.6862E+15,5.6666E+22
1.0624E+16,5.6544E+22
1.4685E+16,5.6375E+22
2.0297E+16,5.6142E+22
2.8055E+16,5.5822E+22
3.8779E+16,5.5382E+22
5.3601E+16,5.4780E+22
7.4088E+16,5.3959E+22
1.0241E+17,5.2845E+22
1.4155E+17,5.1343E+22
1.9565E+17,4.9339E+22
2.7043E+17,4.6700E+22
3.7379E+17,4.3287E+22
5.1666E+17,3.8986E+22
7.1414E+17,3.3754E+22
9.8709E+17,2.7694E+22
1.3644E+18,2.1140E+22
1.8859E+18,1.4707E+22
2.6067E+18,9.2626E+21
3.6030E+18,5.7478E+21
