6
O
O2
O3
gO
gO2
gO3
11
 4221 O         O                   O2                                                4.90E-20  1.58      0.0
 6554 gO        gO                  gO2                                               5.00E-01  0.00      0.0
 6555 gO        gO                  O2                                                1.00E+00  0.00      0.0
 6562 gO3       gO3                 gO2       gO2       gO2                           1.00E+00  0.00   9999.0
 6563 gO3       gO3                 O2        O2        O2                            1.00E+00  0.00   9999.0
 6572 gO        DESORB              O                                                 1.00e+00  0.00   6274.0
 6572 gO2       DESORB              O2                                                1.00e+00  0.00   6274.0
 6572 gO3       DESORB              O3                                                1.00e+00  0.00   6274.0
 7918 O         FREEZE              gO                                                1.00E+00  0.00      0.0
 7919 O2        FREEZE              gO2                                               1.00E+00  0.00      0.0
 7920 O3        FREEZE              gO3                                               1.00E+00  0.00      0.0
