Time,bO3
0.3893E-04,0.4083E+03
0.4805E-04,0.5039E+03
0.5929E-04,0.6218E+03
0.7317E-04,0.7674E+03
0.9030E-04,0.9471E+03
0.1114E-03,0.1169E+04
0.1375E-03,0.1442E+04
0.1697E-03,0.1780E+04
0.2094E-03,0.2197E+04
0.2584E-03,0.2711E+04
0.3189E-03,0.3345E+04
0.3936E-03,0.4128E+04
0.4857E-03,0.5095E+04
0.5994E-03,0.6287E+04
0.7397E-03,0.7759E+04
0.9128E-03,0.9575E+04
0.1126E-02,0.1182E+05
0.1390E-02,0.1458E+05
0.1715E-02,0.1799E+05
0.2117E-02,0.2221E+05
0.2612E-02,0.2740E+05
0.3224E-02,0.3382E+05
0.3978E-02,0.4173E+05
0.4910E-02,0.5150E+05
0.6059E-02,0.6355E+05
0.7477E-02,0.7843E+05
0.9227E-02,0.9679E+05
0.1139E-01,0.1194E+06
0.1405E-01,0.1474E+06
0.1734E-01,0.1819E+06
0.2140E-01,0.2244E+06
0.2641E-01,0.2770E+06
0.3259E-01,0.3418E+06
0.4022E-01,0.4218E+06
0.4963E-01,0.5205E+06
0.6125E-01,0.6422E+06
0.7558E-01,0.7925E+06
0.9327E-01,0.9778E+06
0.1151E+00,0.1207E+07
0.1420E+00,0.1489E+07
0.1753E+00,0.1837E+07
0.2163E+00,0.2266E+07
0.2669E+00,0.2796E+07
0.3294E+00,0.3448E+07
0.4065E+00,0.4254E+07
0.5017E+00,0.5246E+07
0.6191E+00,0.6469E+07
0.7640E+00,0.7976E+07
0.9428E+00,0.9832E+07
0.1164E+01,0.1212E+08
0.1436E+01,0.1493E+08
0.1772E+01,0.1838E+08
0.2187E+01,0.2262E+08
0.2698E+01,0.2783E+08
0.3330E+01,0.3421E+08
0.4109E+01,0.4201E+08
0.5071E+01,0.5154E+08
0.6258E+01,0.6314E+08
0.7723E+01,0.7723E+08
0.9531E+01,0.9427E+08
0.1176E+02,0.1148E+09
0.1451E+02,0.1394E+09
0.1791E+02,0.1687E+09
0.2210E+02,0.2032E+09
0.2728E+02,0.2437E+09
0.3366E+02,0.2905E+09
0.4154E+02,0.3439E+09
0.5126E+02,0.4040E+09
0.6326E+02,0.4703E+09
0.7807E+02,0.5420E+09
0.9634E+02,0.6173E+09
0.1189E+03,0.6943E+09
0.1467E+03,0.7700E+09
0.1811E+03,0.8413E+09
0.2234E+03,0.9050E+09
0.2757E+03,0.9583E+09
0.3403E+03,0.9996E+09
0.4199E+03,0.1028E+10
0.5182E+03,0.1046E+10
0.6395E+03,0.1056E+10
0.7892E+03,0.1060E+10
0.9739E+03,0.1062E+10
0.1202E+04,0.1062E+10
0.1483E+04,0.1062E+10
0.1830E+04,0.1062E+10
0.2259E+04,0.1062E+10
0.2787E+04,0.1062E+10
0.3440E+04,0.1062E+10
0.4245E+04,0.1062E+10
0.5238E+04,0.1062E+10
0.6464E+04,0.1062E+10
0.7977E+04,0.1062E+10
0.9844E+04,0.1062E+10
0.1215E+05,0.1062E+10
0.1499E+05,0.1062E+10
0.1850E+05,0.1062E+10
0.2283E+05,0.1062E+10
0.2818E+05,0.1062E+10
0.3477E+05,0.1062E+10
0.4291E+05,0.1062E+10
